Kode Barang,Warna,   AS,   S,  M, L, XL, XXL,06,08,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
CPC 819,SGB,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPC 820,SGB,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC 877,SGB,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC 878,SGB,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC 879,SGB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC 880,SGB,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC 881,SGB,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNC 909,SGB,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC 201,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,4,4,,,,
DOC 205,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,1,1,,,,
DOC 206,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,8,3,,,,
DOC 210,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,4,5,,,,
DRC 412,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,3,8,4,3,
DRC 413,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,8,7,6,5,
DRC 415,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,7,6,6,3,
DRC 416,SGB,,,,,,,,,,,,,,,,,,,,,6,7,7,6,6,5,,,,,,,
DRC 417,SGB,,,,,,,,,,,,,,,,,,,,,10,4,6,10,10,5,,,,,,,
DRC 418,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,9,9,4,5,
DRC 419,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,0,4,3,
DRC 420,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,8,8,4,6,
DRC 421,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,4,10,4,
DVC 920,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7,5,4,3,
DVC 921,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,2,3,7,4,
DVC 922,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,4,3,
DVC 923,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,6,5,2,
DVC 924,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,6,8,8,2,
DVC 925,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,1,2,3,4,
DVC 926,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,2,
DWC 251,SGB,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWC 257,SGB,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWC 258,SGB,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWC 259,SGB,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWC 260,SGB,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWC 261,SGB,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWC 262,SGB,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIC 001,SGB,,,,,,,,,,,,,,,,,0,3,3,4,7,,,,,,,,,,,,
EIC 002,SGB,,,,,,,,,,,,,,,,,4,7,5,7,5,,,,,,,,,,,,
EIC 003,SGB,,,,,,,,,,,,,,,,,4,6,7,8,4,,,,,,,,,,,,
ESC 222,SGB,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAC 505,SGB,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAC 523,SGB,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAC 524,SGB,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAC 525,SGB,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAC 527,SGB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAC 528,SGB,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAC 529,SGB,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFC 113,SGB,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFC 253,SGB,,,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFC 254,SGB,,,,,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,
FFC 255,SGB,,,,,,,15,14,,,,,,,,,,,,,,,,,,,,,,,,,
FFC 258,SGB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFC 260,SGB,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFC 464,SGB,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIC 221,SGB,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIC 222,SGB,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIC 223,SGB,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZC 136,SGB,,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZC 178,SGB,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZC 179,SGB,,,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZC 180,SGB,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC 580,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,1,,,,
